OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-10-03T09:43:17.482080,13.76225239,.00248142,90.2161,65.8288,353.6290,59.3958,0,U,900,999,3610,.14054007E-2,.1381E-4,0
CALSPHERE 2,1964-063E,2025-10-03T11:08:16.378944,13.52873858,.00167051,90.2288,69.7352,250.7058,171.8095,0,U,902,999,82155,.14924369E-3,.108E-5,0
LCS 1,1965-034C,2025-10-03T14:05:15.872064,9.89309290,.00135868,32.1421,66.2757,293.6480,66.2591,0,U,1361,999,18447,-.53862475E-3,.4E-7,0
TEMPSAT 1,1965-065E,2025-10-03T13:27:00.093600,13.33573664,.00676908,89.9868,212.7325,248.9160,291.6047,0,U,1512,999,92584,.13168741E-3,.74E-6,0
CALSPHERE 4A,1965-065H,2025-10-03T12:42:46.307232,13.36220273,.00711991,89.9112,124.8586,107.3684,286.1756,0,U,1520,999,92843,.34147091E-3,.188E-5,0
OPS 5712 (P/L 160),1967-053A,2025-10-03T13:43:33.779136,14.72402939,.00041131,69.9194,304.9410,329.3553,30.7351,0,U,2826,999,2838,.23859348E-2,.15098E-3,0
LES-5,1967-066E,2025-10-03T12:49:59.210976,1.09425240,.00535635,2.0309,105.1712,195.7252,91.2776,0,U,2866,999,12822,0,-.55E-6,0
SURCAL 159,1967-053F,2025-10-03T12:16:35.697792,13.99510777,.00037824,69.9744,193.5022,87.6877,272.4664,0,U,2872,999,97429,.2299902E-3,.282E-5,0
OPS 5712 (P/L 153),1967-053H,2025-10-03T11:18:38.177280,13.96771834,.00072979,69.9736,305.5360,193.1425,166.9492,0,U,2874,999,97093,.13658054E-3,.137E-5,0
SURCAL 150B,1967-053J,2025-10-03T14:31:30.988992,15.63430526,.00145765,69.9073,174.1230,182.8288,177.2824,0,U,2909,999,4240,.85596674E-2,.870358E-2,0
OPS 3811 (DSP 2),1971-039A,2025-10-03T12:53:43.851840,0.98161387,.00220976,0.4653,299.3371,341.4180,126.8877,0,U,5204,999,20371,0,-.103E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-10-03T13:40:13.379520,14.37382766,.00603978,87.6198,50.0190,6.2562,353.9377,0,U,5398,999,83701,.6509252E-3,.2002E-4,0
OSCAR 7 (AO-7),1974-089B,2025-10-03T12:55:41.795616,12.53692092,.00119019,101.9989,282.0557,261.1228,276.7811,0,U,7530,999,32835,.18495873E-3,-.17E-6,0
STARLETTE,1975-010A,2025-10-03T14:18:25.619040,13.82345322,.02057155,49.8275,37.4060,295.3850,62.5874,0,U,7646,999,55904,-.2821799E-5,-.145E-5,0
LAGEOS 1,1976-039A,2025-10-03T10:20:27.651840,6.38664854,.00446707,109.8430,91.4043,357.2373,23.6572,0,U,8820,999,89674,0,.41E-6,0
OPS 8701 (DSP 10),1982-019A,2025-10-03T10:57:40.097376,0.98191228,.00053733,9.8166,311.0205,280.9968,100.0267,0,U,13086,999,2314,0,-.22E-5,0
PHASE 3B (AO-10),1983-058B,2025-10-01T12:24:35.172864,2.05870535,.60685777,26.2741,263.4385,43.5794,350.9552,0,U,14129,999,29016,0,.87E-6,0
UOSAT 2 (UO-11),1984-021B,2025-10-03T11:30:53.519904,14.89781984,.00066551,97.7686,240.6615,324.4645,35.6129,0,U,14781,999,21889,.34718845E-3,.3276E-4,0
AJISAI (EGS),1986-061A,2025-10-03T13:52:45.931296,12.44513576,.00111979,50.0083,216.4612,247.5417,287.6853,0,U,16908,999,44843,-.39213027E-4,-.103E-5,0
TDRS 3,1988-091B,2025-10-02T01:43:27.064128,1.00262764,.00370287,12.8004,342.6971,340.0896,24.8757,0,U,19548,999,12280,0,-.292E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2025-10-03T13:42:51.583968,2.13156062,.00234431,64.7967,80.9811,216.8194,111.7078,0,U,19751,999,28589,0,.68E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2025-10-03T09:56:30.717024,2.13204522,.00203936,65.0901,319.3760,214.5627,106.5546,0,U,20026,999,28302,0,-.6E-7,0
FLTSATCOM 8 (USA 46),1989-077A,2025-10-03T13:46:51.714624,1.00266679,.00046046,12.4940,352.6918,222.8076,129.4086,0,U,20253,999,25798,0,-.361E-5,0
LUSAT (LO-19),1990-005G,2025-10-03T11:50:55.051872,14.34002439,.00106911,98.9007,286.0506,235.9470,124.0699,0,U,20442,999,86560,.17763871E-3,.449E-5,0
HST,1990-037B,2025-10-03T14:47:52.797120,15.26702940,.00023464,28.4693,29.3001,167.6788,192.3864,0,U,20580,999,74926,.48028267E-3,.13215E-3,0
SKYNET 4C,1990-079A,2025-10-02T20:40:47.267616,1.00276113,.0003443,13.4230,351.5526,199.6829,164.2349,0,U,20776,999,12831,0,.133E-5,0
USA 65 (DSP 15),1990-095A,2025-10-03T09:52:10.232256,0.98396213,.0003554,14.1648,345.8122,123.6095,288.0477,0,U,20929,999,2294,0,-.7E-7,0
TDRS 5,1991-054B,2025-10-03T09:25:41.416608,1.00272829,.00122267,14.1032,355.6575,240.8476,109.6519,0,U,21639,999,12513,0,.91E-6,0
USA 75 (DSP 16),1991-080B,2025-10-03T06:29:56.833152,0.99185746,.0003594,14.1437,347.3276,141.2487,272.4353,0,U,21805,999,2316,0,-.163E-5,0
LAGEOS 2,1992-070B,2025-10-01T10:30:28.380672,6.47293810,.01377744,52.6563,70.1545,74.3816,309.6933,0,U,22195,999,77867,0,-.9E-7,0
TDRS 6,1993-003B,2025-10-03T01:41:59.985024,1.00263475,.00113479,14.1776,358.9503,195.9682,156.4558,0,U,22314,999,11982,0,-.289E-5,0
SCD 1,1993-009B,2025-10-03T15:47:41.430624,14.45933619,.00418313,24.9710,351.2896,303.4833,215.3319,0,U,22490,999,72394,.22151641E-3,.995E-5,0
UFO 2 (USA 95),1993-056A,2025-10-02T20:51:38.774592,1.00276084,.0004757,11.8066,4.9282,234.2419,114.2808,0,U,22787,999,11596,0,.132E-5,0
STELLA,1993-061B,2025-10-03T16:02:19.730688,14.27460221,.00052945,98.8119,334.5048,262.1505,261.5505,0,U,22824,999,66817,.16372952E-4,-.5E-7,0
EYESAT A (AO-27),1993-061C,2025-10-03T10:35:34.090656,14.30839413,.00092825,98.7247,338.5076,129.2243,230.9765,0,U,22825,999,67028,.15773362E-3,.369E-5,0
ITAMSAT (IO-26),1993-061D,2025-10-03T15:16:20.989056,14.31256975,.00099741,98.7194,338.5961,114.5013,245.7210,0,U,22826,999,67061,.16974671E-3,.404E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2025-10-01T20:06:45.860256,1.00270385,.0002218,17.2320,30.4724,195.0208,356.9973,0,U,22988,999,3036,0,-.189E-5,0
RADIO ROSTO (RS-15),1994-085A,2025-10-03T15:02:54.064896,11.27581391,.01476319,64.8219,358.1384,52.0094,309.4058,0,U,23439,999,26697,-.24381313E-4,-.43E-6,0
UFO 4 (USA 108),1995-003A,2025-10-03T10:46:38.405568,1.00275790,.00040483,9.6936,14.0472,183.1301,149.2993,0,U,23467,999,11237,0,-.14E-6,0
TDRS 7,1995-035B,2025-10-03T14:12:52.312896,1.00273490,.00068845,13.4848,349.9446,105.4786,219.4865,0,U,23613,999,11067,0,-.233E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2025-09-30T10:11:54.030624,1.00272874,.00016954,13.9777,5.6456,186.5469,210.1993,0,U,23712,999,3028,0,-.12E-6,0
POLAR,1996-013A,2025-10-01T05:53:27.789792,1.29846602,.62169338,79.5666,229.9320,217.8340,75.8032,0,U,23802,999,14149,0,.22E-5,0
INMARSAT 3-F1,1996-020A,2025-10-03T04:09:41.721120,1.00004235,.0008605,10.0634,48.9324,157.0549,34.5188,0,U,23839,999,10768,0,-.115E-5,0
USA 119,1996-029A,2025-10-03T14:41:06.883872,13.45326403,.08381329,63.3222,142.8848,45.2510,321.3688,0,U,23893,999,7074,.56342153E-3,.3097E-4,0
JAS-2 (FO-29),1996-046B,2025-10-03T14:38:01.891104,13.53255926,.03506738,98.5550,155.1346,42.0462,320.7031,0,U,24278,999,43846,.87476601E-4,.52E-6,0
