JCAT , SatcatLaunch_Tag Piece     , Type     , Name                        , PLName                      , LDate      , Parent      , SDate              , Primary, DDate              , Status Dest   , Owner       , State , Manufacturer, Bus              , Motor       , Mass     , DryMass   , TotMass  , Length, Diamete, Span   , Shape                    , ODate      , Perigee, Apogee, Inc   , OpOrbitOQU AltNames, STATUS, OBJECT_NAME             , OBJECT_ID , EPOCH                     , MEAN_MOTION, ECCENTRICITY, INCLINATION, RA_OF_ASC_NODE, ARG_OF_PERICENTER, MEAN_ANOMALY, EPHEMERIS_TYPE, CLASSIFICATION_TYPE, NORAD_CAT_ID, ELEMENT_SET_NO, REV_AT_EPOCH, BSTAR         , MEAN_MOTION_DOT, MEAN_MOTION_DDOT, LAST_UPDATED       , DATA_SOURCE               , TLE_LINE1                                                            , TLE_LINE2                                                            , N2YO_SAT_NAME              , TLE_FETCHED
  900, 00900 1964-063   1964-063C , P        , Dragsphere 1                , Dragsphere                  , 1964 Oct  6, S00901      , 1964 Oct  7 1100?  , Earth  , -                  , O      -      , NRL         , US    , NRL         , """NRL 14""""""" , -           , 1        , 1         , 1        , 0.4   , 0.4    , 0.4    , Sphere                   , 1964 Nov 11, 1053   , 1081  , 89.92 , LEO/P  -           , ACTIVE, CALSPHERE 1             , 1964-063C , 2025-10-03T09:43:17.482080, 13.76225239, 0.00248142  ,     90.2161,        65.8288,          353.629 ,      59.3958,            0.0, U                  ,        900.0,          999.0,       3610.0, 0.0014054007  , 1.381e-05      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 00900U 64063C   25276.40506345  .00001381  00000-0  14054-2 0  9996, 2 00900  90.2161  65.8288 0024814 353.6290  59.3958 13.76225239 36103, CALSPHERE 1                , YES
  902, 00902 1964-063   1964-063E , P        , Dragsphere 2                , Dragsphere                  , 1964 Oct  6, S00901      , 1964 Oct  7 1100?  , Earth  , -                  , O      -      , NRL         , US    , NRL         , """NRL 14""""""" , -           , 10       , 10        , 10       , 0.4   , 0.4    , 0.4    , Sphere                   , 1964 Nov  9, 1058   , 1079  , 89.92 , LEO/P  -           , ACTIVE, CALSPHERE 2             , 1964-063E , 2025-10-03T11:08:16.378944, 13.52873858, 0.00167051  ,     90.2288,        69.7352,          250.7058,     171.8095,            0.0, U                  ,        902.0,          999.0,      82155.0, 0.00014924369 , 1.08e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 00902U 64063E   25276.46407846  .00000108  00000-0  14924-3 0  9993, 2 00902  90.2288  69.7352 0016705 250.7058 171.8095 13.52873858821552, CALSPHERE 2                , YES
 1361, 01361 1965-034   1965-034C , P        , LCS 1                       , LCS 1                       , 1965 May  6, A00686      , 1965 May  6 1920?  , Earth  , -                  , O      -      , AFSSD/MITLL , US    , ROHR/MITLL  , LCS              , -           , 34       , 34        , 34       , 1.1   , 1.1    , 1.1    , Sphere                   , 1965 Jul 12, 2776   , 2800  , 32.13 , MEO    -           , ACTIVE, LCS 1                   , 1965-034C , 2025-10-03T14:05:15.872064,  9.8930929 , 0.00135868  ,     32.1421,        66.2757,          293.648 ,      66.2591,            0.0, U                  ,       1361.0,          999.0,      18447.0, -0.00053862475, 4e-08          , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 01361U 65034C   25277.49579144  .00000003  00000-0 -75393-3 0  9999, 2 01361  32.1423  64.1179 0013588 296.8278  63.0830  9.89309269184562, LCS 1                      , YES
 1512, 01512 1965-065   1965-065E , P        , Tempsat 1                   , NRL PL157                   , 1965 Aug 13, S01508      , 1965 Aug 13 2251?  , Earth  , -                  , O      -      , NRL         , US    , NRL         , """NRL 14""""""" , -           , 9        , 9         , 9        , 0.4   , 0.4    , 0.4    , Sphere                   , 1966 Jan 22, 1085   , 1193  , 90.02 , LEO/P  -           , ACTIVE, TEMPSAT 1               , 1965-065E , 2025-10-03T13:27:00.093600, 13.33573664, 0.00676908  ,     89.9868,       212.7325,          248.916 ,     291.6047,            0.0, U                  ,       1512.0,          999.0,      92584.0, 0.00013168741 , 7.4e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 01512U 65065E   25276.56041775  .00000074  00000-0  13169-3 0  9992, 2 01512  89.9868 212.7325 0067691 248.9160 291.6047 13.33573664925848, TEMPSAT 1                  , YES
 1520, 01520 1965-065   1965-065H , P        , Calsphere                   , NRL PL158?                  , 1965 Aug 13, S01508      , 1965 Aug 13 2251?  , Earth  , -                  , O      -      , NRL         , US    , NRL         , """NRL 14""""""" , -           , 4        , 4         , 4        , 0.4   , 0.4    , 0.4    , Sphere                   , 1966 Jan  3, 1083   , 1195  , 90.04 , LEO/P  -           , ACTIVE, CALSPHERE 4A            , 1965-065H , 2025-10-03T12:42:46.307232, 13.36220273, 0.00711991  ,     89.9112,       124.8586,          107.3684,     286.1756,            0.0, U                  ,       1520.0,          999.0,      92843.0, 0.00034147091 , 1.88e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 01520U 65065H   25277.43712147  .00000172  00000-0  31050-3 0  9994, 2 01520  89.9110 124.8508 0071228 104.8723 331.1524 13.36220525928558, CALSPHERE 4(A)             , YES
 2826, 02826 1967-053   1967-053A , P        , Calsphere IV                , NRL PL160                   , 1967 May 31, S02825      , 1967 May 31 1026?  , Earth  , -                  , O      -      , NRL         , US    , NRL         , """NRL 14""""?""", -           , 5        , 5         , 5        , 0.5   , 0.5    , 0.5    , Sphere                   , 1967 Jul 24, 913    , 936   , 69.97 , LEO/I  -           , ACTIVE, OPS 5712 (P/L 160)      , 1967-053A , 2025-10-03T13:43:33.779136, 14.72402939, 0.00041131  ,     69.9194,       304.941 ,          329.3553,      30.7351,            0.0, U                  ,       2826.0,          999.0,       2838.0, 0.0023859348  , 0.00015098     , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 02826U 67053A   25277.52299956  .00012664  00000-0  20027-2 0  9991, 2 02826  69.9190 302.6296 0004193 328.6001  31.4893 14.72426293 28524, OPS 5712 (P/L 160)         , YES
 2866, 02866 1967-066   1967-066E , P        , LES 5                       , LES 5                       , 1967 Jul  1, S02868      , 1967 Jul  1 1923   , Earth  , -                  , O      -      , SAMSO       , US    , MITLL       , LES              , -           , 102      , 102       , 102      , 1.7   , 1.2    , 1.7    , Cyl                      , 1967 Sep  3, 33171  , 33639 , 6.92  , MEO    -           , ACTIVE, LES-5                   , 1967-066E , 2025-10-03T12:49:59.210976,  1.0942524 , 0.00535635  ,      2.0309,       105.1712,          195.7252,      91.2776,            0.0, U                  ,       2866.0,          999.0,      12822.0, 0.0           , -5.5e-07       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 02866U 67066E   25276.53471309 -.00000055  00000-0  00000-0 0  9992, 2 02866   2.0309 105.1712 0053564 195.7252  91.2776  1.09425240128223, LES 5                      , YES
 2872, 02872 1967-053   1967-053F , P        , Calsphere III               , NRL PL159                   , 1967 May 31, S02825      , 1967 May 31 1026?  , Earth  , -                  , O      -      , NRL         , US    , NRL         , """NRL 14""""?""", -           , 3        , 3         , 3        , 0.4   , 0.4    , 0.4    , Sphere                   , 1967 Jul  1, 914    , 925   , 69.98 , LEO/I  -           , ACTIVE, SURCAL 159              , 1967-053F , 2025-10-03T12:16:35.697792, 13.99510777, 0.00037824  ,     69.9744,       193.5022,           87.6877,     272.4664,            0.0, U                  ,       2872.0,          999.0,      97429.0, 0.0002299902  , 2.82e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 02872U 67053F   25277.51213252  .00000243  00000-0  20338-3 0  9992, 2 02872  69.9744 191.3482 0003780  85.4134 274.7405 13.99511268974432, SURCAL 159                 , YES
 2874, 02874 1967-053   1967-053H , P        , NRL PL153                   , POPPY 5 Charlie             , 1967 May 31, S02825      , 1967 May 31 1026?  , Earth  , -                  , O      -      , NRO/NRL     , US    , NRL         , NRL MULTI        , -           , 77       , 77        , 77       , 0.8   , 0.7    , 18.0  ?, Ell + Ant                , 1967 Jul 12, 913    , 927   , 69.98 , LEO/I  -   NRO Miss, ACTIVE, OPS 5712 (P/L 153)      , 1967-053H , 2025-10-03T11:18:38.177280, 13.96771834, 0.00072979  ,     69.9736,       305.536 ,          193.1425,     166.9492,            0.0, U                  ,       2874.0,          999.0,      97093.0, 0.00013658054 , 1.37e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 02874U 67053H   25277.47384545  .00000118  00000-0  12291-3 0  9993, 2 02874  69.9734 303.3871 0007233 191.9755 168.1180 13.96772083971073, OPS 5712 (P/L 153)         , YES
 2909, 02909 1967-053   1967-053J , P        , SURCAL 6?                   , NRL PL150B                  , 1967 May 31, S02825      , 1967 May 31 1026?  , Earth  , -                  , O      -      , NRL         , US    , NRL         , Surcal?          , -           , 5    ?   , 5    ?    , 5    ?   , 0.2  ?, 0.2  ? , 0.2  ? , Box                      , 1967 Aug  3, 914    , 926   , 69.98 , LEO/I  -           , ACTIVE, SURCAL 150B             , 1967-053J , 2025-10-03T14:31:30.988992, 15.63430526, 0.00145765  ,     69.9073,       174.123 ,          182.8288,     177.2824,            0.0, U                  ,       2909.0,          999.0,       4240.0, 0.0085596674  , 0.00870358     , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 02909U 67053J   25277.43660501  .00886543  00000-0  82540-2 0  9994, 2 02909  69.9071 171.7951 0014813 183.7500 176.3584 15.64785041 42535, SURCAL 150B                , YES
 5204, 05204 1971-039   1971-039A , P        , DSP F2                      , DSP 3                       , 1971 May  5, S05205      , 1971 May  5 1400?  , Earth  , -                  , O      GEO/ID?, SAMSO       , US    , TRW         , DSP              , MRE-4       , 903      , 860    ?  , 903      , 6.9   , 2.8    , 7.4    , Cyl + 4 Pan              , 1979 Oct 31, 35776  , 35798 , 6.56  , GEO/I  -   OPS 3811, ACTIVE, OPS 3811 (DSP 2)        , 1971-039A , 2025-10-03T12:53:43.851840,  0.98161387, 0.00220976  ,      0.4653,       299.3371,          341.418 ,     126.8877,            0.0, U                  ,       5204.0,          999.0,      20371.0, 0.0           , -1.03e-06      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 05204U 71039A   25276.53731310 -.00000103  00000-0  00000-0 0  9991, 2 05204   0.4653 299.3371 0022098 341.4180 126.8877  0.98161387203712, OPS 3811                   , YES
 5398, 05398 1971-067   1971-067E , P        , LCS 4                       , LCS 4                       , 1971 Aug  7, S05397      , 1971 Aug  7 0115?  , Earth  , -                  , O      -      , USA/MITLL   , US    , ROHR/MITLL  , LCS              , -           , 38    ?  , 38    ?   , 38    ?  , 1.0   , 1.0    , 1.0    , Sphere                   , 1971 Sep  6, 761    , 912   , 87.57 , LEO/P  -           , ACTIVE, RIGIDSPHERE 2 (LCS 4)   , 1971-067E , 2025-10-03T13:40:13.379520, 14.37382766, 0.00603978  ,     87.6198,        50.019 ,            6.2562,     353.9377,            0.0, U                  ,       5398.0,          999.0,      83701.0, 0.0006509252  , 2.002e-05      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 05398U 71067E   25277.47459313  .00001739  00000-0  56455-3 0  9993, 2 05398  87.6199  49.7677 0060271   3.2522 356.9056 14.37384985837146, RIGIDSPHERE 2 (LCS 4)      , YES
 7530, 07530 1974-089   1974-089B , P        , AMSAT-OSCAR-7               , OSCAR 7                     , 1974 Nov 15, S07532      , 1974 Nov 15 1828   , Earth  , -                  , O      -      , AMNA        , US    , AMNA        , AMSAT Phase 2    , -           , 29       , 29        , 29       , 0.4   , 0.4    , 0.4    , Oct Cyl                  , 1974 Dec 19, 1440   , 1461  , 101.73, LEO/S  -   AO-7    , ACTIVE, OSCAR 7 (AO-7)          , 1974-089B , 2025-10-03T12:55:41.795616, 12.53692092, 0.00119019  ,    101.9989,       282.0557,          261.1228,     276.7811,            0.0, U                  ,       7530.0,          999.0,      32835.0, 0.00018495873 , -1.7e-07       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 07530U 74089B   25277.49110646 -.00000021  00000-0  15979-3 0  9995, 2 07530 101.9990 283.0185 0011904 259.2530 255.4203 12.53692114328473, OSCAR 7                    , YES
 7646, 07646 1975-010   1975-010A , P        , Starlette                   , Starlette                   , 1975 Feb  6, S07647      , 1975 Feb  6 1647   , Earth  , -                  , O      -      , CNES        , F     , CNES        , Starlette        , -           , 48       , 48        , 48       , 0.2   , 0.2    , 0.2    , Sphere                   , 1989 Sep 25, 804    , 1108  , 49.82 , LEO/I  -           , ACTIVE, STARLETTE               , 1975-010A , 2025-10-03T14:18:25.619040, 13.82345322, 0.02057155  ,     49.8275,        37.406 ,          295.385 ,      62.5874,            0.0, U                  ,       7646.0,          999.0,      55904.0, -2.821799e-06 , -1.45e-06      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 07646U 75010A   25277.46365512 -.00000140  00000-0  11637-5 0  9990, 2 07646  49.8262  33.9818 0205717 298.2518  59.7747 13.82345257559160, STARLETTE                  , YES
 8820, 08820 1976-039   1976-039A , P        , Lageos                      , Lageos                      , 1976 May  4, S08822      , 1976 May  4 0935   , Earth  , -                  , O      -      , MSFC        , US    , BENDX       , Lageos           , -           , 411      , 411       , 411      , 0.6   , 0.6    , 0.6    , Sphere                   , 1976 Jun  3, 5834   , 5951  , 109.89, MEO    -           , ACTIVE, LAGEOS 1                , 1976-039A , 2025-10-03T10:20:27.651840,  6.38664854, 0.00446707  ,    109.843 ,        91.4043,          357.2373,      23.6572,            0.0, U                  ,       8820.0,          999.0,      89674.0, 0.0           , 4.1e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 08820U 76039A   25276.43087560  .00000041  00000-0  00000-0 0  9993, 2 08820 109.8430  91.4043 0044671 357.2373  23.6572  6.38664854896747, LAGEOS 1                   , YES
13086, 13086 1982-019   1982-019A , P        , DSP F10                     , DSP 13                      , 1982 Mar  6, S13089      , 1982 Mar  7 0210?  , Earth  , -                  , O      GEO/ID?, AFSD        , US    , TRW         , DSP MOS/PIM      , MRE-4       , 1180     , 1050    ? , 1180     , 7.0  ?, 2.8    , 7.7  ? , Cyl + 4 Pan              , 1982 Apr  5, 35733  , 35804 , 1.93  , GEO/D  -   OPS 8701, ACTIVE, OPS 8701 (DSP 10)       , 1982-019A , 2025-10-03T10:57:40.097376,  0.98191228, 0.00053733  ,      9.8166,       311.0205,          280.9968,     100.0267,            0.0, U                  ,      13086.0,          999.0,       2314.0, 0.0           , -2.2e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 13086U 82019A   25277.45433375 -.00000216  00000-0  00000+0 0  9994, 2 13086   9.8146 311.0135 0005463 281.7515  91.9307  0.98190965 23156, OPS 8701                   , YES
14781, 14781 1984-021   1984-021B , P        , UoSAT-OSCAR-11              , UoSAT 2                     , 1984 Mar  1, S14782      , 1984 Mar  1 1911   , Earth  , -                  , O      -      , UOS         , UK    , UOS         , UoSAT            , -           , 60       , 60        , 60       , 0.6   , 0.4    , 6.5    , Box + Ant                , 1984 Mar 31, 677    , 696   , 98.25 , LEO/S  -   UO-11   , ACTIVE, UOSAT 2 (UO-11)         , 1984-021B , 2025-10-03T11:30:53.519904, 14.89781984, 0.00066551  ,     97.7686,       240.6615,          324.4645,      35.6129,            0.0, U                  ,      14781.0,          999.0,      21889.0, 0.00034718845 , 3.276e-05      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 14781U 84021B   25277.48726322  .00002772  00000-0  29457-3 0  9991, 2 14781  97.7687 241.6515 0006603 320.2934  39.7800 14.89787378219044, OSCAR 11 (UoSAT 2)         , YES
16908, 16908 1986-061   1986-061A , P        , Ajisai                      , EGP                         , 1986 Aug 12, A04307      , 1986 Aug 12 2142?  , Earth  , -                  , O      -      , NASDA       , J     , KAWA        , EGP              , -           , 685      , 685       , 685      , 6.5  ?, 2.4  ? , 6.5  ? , Sphere + DCone           , 1986 Sep 23, 1479   , 1497  , 50.01 , LEO/I  -           , ACTIVE, AJISAI (EGS)            , 1986-061A , 2025-10-03T13:52:45.931296, 12.44513576, 0.00111979  ,     50.0083,       216.4612,          247.5417,     287.6853,            0.0, U                  ,      16908.0,          999.0,      44843.0, -3.9213027e-05, -1.03e-06      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 16908U 86061A   25277.54113213 -.00000112  00000-0 -10482-3 0  9992, 2 16908  50.0083 213.5006 0011189 250.0081 281.3542 12.44513535448559, EGS (AJISAI)               , YES
19548, 19548 1988-091   1988-091B , P ---S-  , TDRS 3                      , TDRS C                      , 1988 Sep 29, S19550      , 1988 Sep 29 0444   , Earth  , -                  , O      -      , GSFC        , US    , TRW         , TDRS             , AOCS        , 2103     , 1673    ? , 2103     , 1.3   , 2.4    , 17.4   , Box + Dish + 2 Pan       , 1988 Oct 30, 35784  , 35797 , 0.01  , GEO/S  -           , ACTIVE, TDRS 3                  , 1988-091B , 2025-10-02T01:43:27.064128,  1.00262764, 0.00370287  ,     12.8004,       342.6971,          340.0896,      24.8757,            0.0, U                  ,      19548.0,          999.0,      12280.0, 0.0           , -2.92e-06      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 19548U 88091B   25275.07184102 -.00000292  00000-0  00000-0 0  9991, 2 19548  12.8004 342.6971 0037029 340.0896  24.8757  1.00262764122801, TDRS 3                     , YES
19751, 19751 1989-001   1989-001C , P        , Kosmos-1989                 , Etalon PKA No. 1L           , 1989 Jan 10, S19753      , 1989 Jan 10 0620?  , Earth  , -                  , O      -      , NPOPM       , SU    , OAZ?        , Etalon           , -           , 1230     , 1230      , 1230     , 1.3   , 1.3    , 1.3    , Sphere                   , 1989 Feb  9, 19102  , 19149 , 64.87 , MEO    -   Glonass , ACTIVE, COSMOS 1989 (ETALON 1)  , 1989-001C , 2025-10-03T13:42:51.583968,  2.13156062, 0.00234431  ,     64.7967,        80.9811,          216.8194,     111.7078,            0.0, U                  ,      19751.0,          999.0,      28589.0, 0.0           , 6.8e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 19751U 89001C   25276.57143037  .00000068  00000-0  00000-0 0  9997, 2 19751  64.7967  80.9811 0023443 216.8194 111.7078  2.13156062285891, COSMOS 1989 (ETALON 1)     , YES
